"lob","benchmark_type","category","mcg","prcnt_bnmrk","prcnt_actul","label_bnmrk","label_actul"
"com","west south central","ob","s-650",0.07,0.03,"0.07%","0.03%"
"com","west south central","endo","s-930",0,0,"0%","0%"
"com","east north central","neo","p-265",0.15,0.24,"0.15%","0.24%"
"com","east north central","cv","sg-cvs",0.06,0.05,"0.06%","0.05%"
"com","well managed","neuro","m-222",0,0,"0%","0%"
"com","east south central","gs","s-220",0.01,0,"0.01%","0%"
"com","east south central","ped","p-202",0,0,"0%","0%"
"com","weighted national","gi","m-250",0.04,0.03,"0.04%","0.03%"
"com","south atlantic","ort","s-1220",0,0,"0%","0%"
"com","moderately managed","thor","m-284",0,0,"0%","0%"
"com","moderately managed","ped","p-580",0.01,0.01,"0.01%","0.01%"
"com","moderately managed","gi","m-170",0.04,0.04,"0.04%","0.04%"
"com","west south central","neuro","m-79",0,0,"0%","0%"
"com","middle atlantic","ort","s-1132",0,0,"0%","0%"
"com","mountain","ob","mg-obd-gy",0,0.01,"0%","0.01%"
"com","new england","hema","m-331",0,0,"0%","0%"
"com","west south central","card","m-510",0.01,0.01,"0.01%","0.01%"
"com","others","uro","s-910",0,0,"0%","0%"
"com","east north central","uro","s-910",0,0,"0%","0%"
"com","east south central","neuro","m-221",0.01,0,"0.01%","0%"
"com","new england","other","mg-vas",0.01,0.01,"0.01%","0.01%"
"com","middle atlantic","ns","s-1040",0,0,"0%","0%"
"com","south atlantic","ped","p-202",0,0,"0%","0%"
"com","moderately managed","ob","s-1020",0,0,"0%","0%"
"com","south atlantic","ort","s-810",0.01,0,"0.01%","0%"
"com","loosely managed","hema","pg-onc",0.08,0.06,"0.08%","0.06%"
"com","west south central","gs","s-175",0.02,0.01,"0.02%","0.01%"
"com","others","bh","b-015-ip",0.2,0.32,"0.2%","0.32%"
"com","others","hns","s-780",0,0,"0%","0%"
"com","moderately managed","ob","m-195",0,0,"0%","0%"
"com","loosely managed","ns","s-412",0,0,"0%","0%"
"com","new england","ped","p-390",0.01,0.01,"0.01%","0.01%"
"com","east north central","ns","s-640",0,0.01,"0%","0.01%"
"com","well managed","gi","m-560",0,0.01,"0%","0.01%"
"com","west north central","cv","s-130",0,0,"0%","0%"
"com","south atlantic","gs","s-858",0,0,"0%","0%"
"com","moderately managed","gs","s-795",0,0,"0%","0%"
"com","moderately managed","id","mg-sic",0.06,0.06,"0.06%","0.06%"
"com","weighted national","unclx","a-apc",0,0,"0%","0%"
"com","east north central","ns","s-1050",0,0,"0%","0%"
"com","east south central","ort","s-633",0,0,"0%","0%"
"com","pacific","neo","p-415",0.03,0.02,"0.03%","0.02%"
"com","new england","cv","s-1320",0,0,"0%","0%"
"com","well managed","ort","s-632",0,0,"0%","0%"
"com","loosely managed","bh","b-002-ip",0.01,0.01,"0.01%","0.01%"
"com","moderately managed","unclx","unclass",0.02,0.04,"0.02%","0.04%"
"com","west south central","ped","p-505",0,0,"0%","0%"
"com","east north central","card","m-575",0.01,0.01,"0.01%","0.01%"
"com","west south central","cv","s-281",0,0,"0%","0%"
"com","east north central","neuro","m-152",0,0,"0%","0%"
"com","pacific","bh","b-006-ip",0.01,0,"0.01%","0%"
"com","new england","gi","m-555",0.02,0.01,"0.02%","0.01%"
"com","west north central","neo","p-355",0,0.01,"0%","0.01%"
"com","others","ort","s-1124",0.01,0,"0.01%","0%"
"com","weighted national","ped","p-380",0,0,"0%","0%"
"com","loosely managed","ob","s-350",0.6,0.57,"0.6%","0.57%"
"com","others","gi","mg-gas",0.15,0.05,"0.15%","0.05%"
"com","south atlantic","ped","p-12",0,0,"0%","0%"
"com","mountain","ob","m-285",0,0.01,"0%","0.01%"
"com","east south central","ped","p-12",0,0,"0%","0%"
"com","well managed","ped","p-200",0,0,"0%","0%"
"com","east south central","ns","s-640",0,0.01,"0%","0.01%"
"com","loosely managed","bh","b-006-ip",0.01,0,"0.01%","0%"
"com","others","neph","m-320",0.07,0.02,"0.07%","0.02%"
"com","weighted national","gs","s-185",0.01,0,"0.01%","0%"
"com","west south central","card","m-40",0.02,0.02,"0.02%","0.02%"
"com","weighted national","ort","s-740",0,0,"0%","0%"
"com","middle atlantic","ped","p-114",0,0,"0%","0%"
"com","mountain","unclx","a-hsc",0.01,0.02,"0.01%","0.02%"
"com","pacific","gs","s-1305",0.02,0.02,"0.02%","0.02%"
"com","pacific","neo","p-595",0.03,0.05,"0.03%","0.05%"
"com","east south central","neuro","mg-n",0.06,0.04,"0.06%","0.04%"
"com","west south central","bh","b-021-ip",0,0,"0%","0%"
"com","south atlantic","gs","s-515",0,0,"0%","0%"
"com","new england","cv","s-130",0,0,"0%","0%"
"com","east north central","ort","s-675",0,0,"0%","0%"
"com","loosely managed","ort","s-675",0,0,"0%","0%"
"com","south atlantic","ort","s-680",0,0,"0%","0%"
"com","pacific","ped","p-400",0,0,"0%","0%"
"com","west north central","ort","s-460",0,0,"0%","0%"
"com","west north central","ped","p-411",0,0,"0%","0%"
"com","others","neuro","m-85",0.01,0.01,"0.01%","0.01%"
