"lob","benchmark_type","category","mcg","prcnt_bnmrk","prcnt_actul","label_bnmrk","label_actul"
"com","well managed","thor","m-540",0,0,"0%","0%"
"com","west south central","bh","b-027-ip",0,0,"0%","0%"
"com","east south central","hns","sg-hns",0.03,0.03,"0.03%","0.03%"
"com","west north central","gi","m-370",0.01,0.01,"0.01%","0.01%"
"com","east north central","ped","p-220",0,0,"0%","0%"
"com","west south central","bh","b-029-ip",0,0,"0%","0%"
"com","pacific","ob","m-260",0.01,0,"0.01%","0%"
"com","others","hema","mg-hem",0.03,0.01,"0.03%","0.01%"
"com","west south central","unclx","a-nsf",0.01,0.03,"0.01%","0.03%"
"com","east north central","thor","mg-pul",0.04,0.02,"0.04%","0.02%"
"com","west south central","ped","p-272",0,0,"0%","0%"
"com","new england","card","m-89",0.01,0.01,"0.01%","0.01%"
